"sample.date","treatment","replicate","disturbed","fertilized","biomass","year","centered.year","log.biomass","fert.code","dist.code"
"8/15/96","T7","R3","not.disturbed","no.fert",24.8555555555556,1996,-4.0958677685951,3.21308129115986,0,0
"8/15/96","T7","R4","not.disturbed","no.fert",15.3625,1996,-4.0958677685951,2.73192947489215,0,0
"8/15/96","T7","R5","not.disturbed","no.fert",17.8136363636364,1996,-4.0958677685951,2.87996425184727,0,0
"8/15/96","T7","R6","not.disturbed","no.fert",17.2625,1996,-4.0958677685951,2.84853651873541,0,0
"8/15/96","T7","R1","not.disturbed","fert",21.296,1996,-4.0958677685951,3.05851926165276,1,0
"8/15/96","T7","R2","not.disturbed","fert",43.3785714285714,1996,-4.0958677685951,3.76996557328827,1,0
"8/15/96","T7","R3","not.disturbed","fert",73.0322222222222,1996,-4.0958677685951,4.29090074406435,1,0
"8/15/96","T7","R4","not.disturbed","fert",45.7836363636364,1996,-4.0958677685951,3.82392674264202,1,0
"8/15/96","T7","R5","not.disturbed","fert",37.7675,1996,-4.0958677685951,3.63144894443574,1,0
"8/15/96","T7","R6","not.disturbed","fert",105.546666666667,1996,-4.0958677685951,4.65915319318615,1,0
"8/16/05","T7","R1","not.disturbed","no.fert",58.7438461538462,2005,4.9041322314049,4.07318640122048,0,0
"8/16/05","T7","R2","not.disturbed","no.fert",66.3484210526316,2005,4.9041322314049,4.19491996324761,0,0
"8/16/05","T7","R3","not.disturbed","no.fert",52.6263157894737,2005,4.9041322314049,3.96321629481536,0,0
"8/16/05","T7","R4","not.disturbed","no.fert",42.2494736842105,2005,4.9041322314049,3.74359189654714,0,0
"8/16/05","T7","R5","not.disturbed","no.fert",46.4042105263158,2005,4.9041322314049,3.83739019921685,0,0
"8/16/05","T7","R6","not.disturbed","no.fert",25.4886956521739,2005,4.9041322314049,3.23823504611656,0,0
"8/16/05","T7","R1","not.disturbed","fert",62.33,2005,4.9041322314049,4.13244285082076,1,0
"8/16/05","T7","R2","not.disturbed","fert",300.975,2005,4.9041322314049,5.70702720482109,1,0
"8/16/05","T7","R3","not.disturbed","fert",129.656,2005,4.9041322314049,4.86488478935582,1,0
"8/16/05","T7","R4","not.disturbed","fert",94.0392857142857,2005,4.9041322314049,4.54371262809098,1,0
"8/16/05","T7","R5","not.disturbed","fert",58.9846666666667,2005,4.9041322314049,4.07727752312359,1,0
"8/16/05","T7","R6","not.disturbed","fert",60.6877777777778,2005,4.9041322314049,4.10574232322381,1,0
"8/16/11","T7","R2","disturbed","no.fert",13.4864583333333,2011,10.9041322314049,2.60168609559677,0,1
"8/16/11","T7","R5","disturbed","no.fert",34.81275,2011,10.9041322314049,3.54998369899026,0,1
"8/16/11","T7","R6","disturbed","no.fert",16.8064285714286,2011,10.9041322314049,2.82176146627743,0,1
"8/16/11","T7","R2","disturbed","fert",41.4761363636364,2011,10.9041322314049,3.72511823446274,1,1
"8/16/11","T7","R5","disturbed","fert",93.825,2011,10.9041322314049,4.54143134502108,1,1
"8/16/11","T7","R6","disturbed","fert",51.275,2011,10.9041322314049,3.93720330395844,1,1
"8/17/94","T7","R2","disturbed","no.fert",54.0209090909091,1994,-6.0958677685951,3.98937117700682,0,1
"8/17/94","T7","R3","disturbed","no.fert",71.8066666666667,1994,-6.0958677685951,4.27397732225451,0,1
"8/17/94","T7","R4","disturbed","no.fert",62.7233333333333,1994,-6.0958677685951,4.13873352088844,0,1
"8/17/94","T7","R2","disturbed","fert",140.596666666667,1994,-6.0958677685951,4.94589527117708,1,1
"8/17/94","T7","R3","disturbed","fert",69.8071428571428,1994,-6.0958677685951,4.24573633772953,1,1
"8/17/94","T7","R4","disturbed","fert",112.41,1994,-6.0958677685951,4.72215290147371,1,1
"8/18/93","T7","R1","disturbed","no.fert",25.0688888888889,1993,-7.0958677685951,3.22162759084055,0,1
