"WaterbodyID","Year","doy","CenterLatitude","Temperature","pH","lwTN","lwTP","pa"
1313,1973,181,33.1920371666667,29.4,8.38333333333333,2.20442084420681,-0.129729106674785,1
1313,1973,251,33.1920371666667,28.5260869565217,6.97826086956522,2.23402690962522,-0.16672212395794,1
1313,1973,316,33.1920371666667,16.3259259259259,6.76153846153846,1.98655434999345,0.151066465030675,0
1314,1973,169,31.752639,27.8,7.90625,2.57647245442364,0.70471336693131,1
1314,1973,241,31.752639,29.475,8,2.59301339111385,-0.0642718900201404,1
1314,1973,306,31.752639,19.68125,7.50666666666667,2.29468732086691,0.540811519256247,0
1316,1973,177,34.863148,19.26,6.476,1.76390854107228,-0.820526109889776,1
1316,1973,257,34.863148,25.5333333333333,6.43333333333333,2.22857967968355,-1.31428382514362,0
1316,1973,315,34.863148,15.6142857142857,6.24285714285714,1.17865499634165,-1.20755062567382,1
1317,1973,161,32.7046666,22.0307692307692,6.45769230769231,2.38168060665881,1.24266823161176,0
1317,1973,240,32.7046666,26.7095238095238,7.55,3.08334242957301,1.09965334866039,1
1317,1973,303,32.7046666,18.0833333333333,6.85555555555556,2.56109578814555,1.4466182841362,0
1318,1973,178,34.8348146666667,26.7666666666667,7.06666666666667,1.77155676191054,-1.48133790980679,0
1318,1973,260,34.8348146666667,24.3333333333333,6.41666666666667,1.90160989015873,-1.41537994201499,0
1318,1973,313,34.8348146666667,15.3384615384615,6.39230769230769,1.16603127267103,-1.59606617546821,0
1319,1973,172,33.1890736666667,25.1636363636364,7.78181818181818,2.54074264079063,0.412470627208258,0
1319,1973,250,33.1890736666667,25.62,7.28888888888889,2.73537710062093,0.18694050265025,0
1319,1973,311,33.1890736666667,15.4,7.4625,2.11354099043926,0.553813271565428,0
1601,1975,135,42.8877222,11.0235294117647,8.59117647058824,2.01005796887907,0.703499658264,0
1601,1975,216,42.8877222,23.96,8.84,1.67147330335355,1.06526230898656,1
1601,1975,260,42.8877222,14.7,8.27533333333333,2.55567572067621,1.78823102937694,1
1602,1975,154,44.5789444,13.23,7.715,1.58923520511658,0.163818085229395,0
1602,1975,212,44.5789444,16.4133333333333,7.68357142857143,1.46787434811231,-0.367687743774136,1
1602,1975,258,44.5789444,17.9047619047619,7.88095238095238,1.61210102985358,0.323324964257179,1
1603,1975,93,47.52034725,3.75277777777778,7.39861111111111,1.70737091226313,0.15205324364981,0
1603,1975,202,47.52034725,19.99375,8.0875,1.57484646766448,-0.552624657934073,1
1603,1975,251,47.52034725,18.0833333333333,7.58333333333333,1.12492959698548,-0.7859205807123,1
1604,1975,96,46.6012778,3.65076923076923,6.89705882352941,1.36082571219708,-0.642286332605054,0
1604,1975,203,46.6012778,12.3128205128205,7.48717948717949,1.22467999975254,-1.34431611224249,0
1604,1975,253,46.6012778,15.9166666666667,6.825,1.16210860022724,-1.05339994584656,1
1605,1975,153,47.7775,16.125,8.025,1.88933979756692,-0.080938942505352,0
1605,1975,203,47.7775,27.05,8.4125,1.58206671563797,-0.948039430188735,1
1605,1975,252,47.7775,15.15,7.9125,1.64480505627139,-0.360252765286616,1
1605,1975,295,47.7775,11.7428571428571,7.29285714285714,1.77495235091167,0.0313602300133968,0
1606,1975,93,47.776574,4.17142857142857,7.475,1.49962304642689,-0.00311009449183604,0
1606,1975,203,47.776574,24.85,8.0625,1.3297240096315,-1.29052973913551,1
1606,1975,252,47.776574,14.81,7.705,1.12492959698548,-1.2224762758905,1
1607,1975,210,44.4138886666667,17.45,9.28333333333333,1.3297240096315,-0.405715139363374,1
1607,1975,245,44.4138886666667,15.9222222222222,8.91111111111111,1.66089119402302,0.424156006551654,1
1607,1975,292,44.4138886666667,9.44,8.775,1.43174562402381,0.458057558227335,1
1608,1975,212,43.557963,18.1,9.305,2.46945454522908,0.962983341522935,1
1608,1975,258,43.557963,17.85,8.945,2.47418268642502,0.942659866121269,1
1609,1975,134,43.2847223333333,8.6,7.72777777777778,2.65394594210901,1.00230518951219,0
1609,1975,216,43.2847223333333,20.9,8.81428571428571,1.12492959698548,-0.73292805057179,1
1609,1975,259,43.2847223333333,17.7357142857143,8.575,1.52605630349505,0.371809831523003,1
1610,1975,216,43.2495,17.4533333333333,8.37586206896552,1.32725182048611,-0.0516793338034602,0
1610,1975,260,43.2495,15.559375,8.3015625,1.29318488299428,0.0771057065975017,1
1610,1975,292,43.2495,13.8095238095238,8.3625,1.37624402526639,-0.634968123732135,1
1611,1975,154,44.948148,4.635,7.158,1.30725115377944,-0.993036796119471,0
1611,1975,212,44.948148,14.4333333333333,7.62777777777778,1.37399683330948,-0.224255280166899,0
1611,1975,258,44.948148,16.9777777777778,7.57222222222222,1.12492959698548,-0.357786672791421,0
1612,1975,153,47.8767593333333,14.925,7.8,1.61043741276718,-0.73292805057179,1
1612,1975,203,47.8767593333333,24.3,7.31875,1.77155676191054,-0.757419070580086,0
1612,1975,252,47.8767593333333,14.6166666666667,7.80833333333333,2.07693841146172,0.970842046478659,0
1612,1975,296,47.8767593333333,10.4444444444444,6.88888888888889,1.42764954680181,-0.357786672791421,0
